analysis,subgroup,level,cohort,outcome,exposure,n,people,term,term_raw,events,coef,se,odds_ratio,ci_low,ci_high,p_value,covariance,weighted,status
subgroup_pooled,age_group,60-69,pooled,next_healthy_aging_binary,internet_use,103095,51795,internet_use,internet_use,58599,0.45152282822969286,0.0193570380563202,1.5707022749451653,1.512226447849055,1.6314392861115834,2.413817179415122e-120,clustered_by_person,False,ok
subgroup_pooled,age_group,70-79,pooled,next_healthy_aging_binary,internet_use,72136,35382,internet_use,internet_use,33351,0.46395872566487445,0.022458235019468666,1.5903573281440462,1.521871130999782,1.661925493993638,8.147074991724291e-95,clustered_by_person,False,ok
subgroup_pooled,age_group,80plus,pooled,next_healthy_aging_binary,internet_use,31017,15923,internet_use,internet_use,9339,0.3750781356787722,0.039581758527777906,1.4551051058016014,1.3464855328707828,1.5724869055337127,2.6412867054069724e-21,clustered_by_person,False,ok
subgroup_pooled,age_group,under60,pooled,next_healthy_aging_binary,internet_use,95244,48271,internet_use,internet_use,58410,0.47378231544869875,0.02142781889626409,1.6060573351015741,1.540002115940638,1.6749458568490683,2.4982594487711814e-108,clustered_by_person,False,ok
subgroup_pooled,sex,female,pooled,next_healthy_aging_binary,internet_use,175034,66156,internet_use,internet_use,88421,0.47892007954626775,0.015728434383746315,1.6143301124078402,1.5653232436912106,1.6648712796734044,1.2231138475090693e-203,clustered_by_person,False,ok
subgroup_pooled,sex,male,pooled,next_healthy_aging_binary,internet_use,126458,51330,internet_use,internet_use,71278,0.4298580206807335,0.018086830024452112,1.5370392802649337,1.483505449030222,1.592504935267829,7.444682397069515e-125,clustered_by_person,False,ok
subgroup_pooled,education,high,pooled,next_healthy_aging_binary,internet_use,59371,21928,internet_use,internet_use,41266,0.46019118090049416,0.03223710565295651,1.5843768586362876,1.487365529210771,1.687715615887767,3.123833199410221e-46,clustered_by_person,False,ok
subgroup_pooled,education,low,pooled,next_healthy_aging_binary,internet_use,106832,49049,internet_use,internet_use,41485,0.5024593493629204,0.022395573030216852,1.6527810424591425,1.581800928707504,1.7269462450906516,1.76688601752815e-111,clustered_by_person,False,ok
subgroup_pooled,education,middle,pooled,next_healthy_aging_binary,internet_use,133468,45723,internet_use,internet_use,75741,0.42832230562214363,0.015807222695146693,1.534680637461778,1.4878619389456422,1.5829725845861136,1.079217522902494e-161,clustered_by_person,False,ok
subgroup_pooled,rurality,rural,pooled,next_healthy_aging_binary,internet_use,96145,41070,internet_use,internet_use,47173,0.47579384539130887,0.02233289436661656,1.6092912189573572,1.5403680362215737,1.681298343327039,1.0285700037032875e-100,clustered_by_person,False,ok
subgroup_pooled,rurality,urban,pooled,next_healthy_aging_binary,internet_use,176526,70880,internet_use,internet_use,94643,0.4590974631091547,0.015114746179114768,1.5826449447629645,1.536446927148511,1.6302320483222648,1.2061587711021898e-202,clustered_by_person,False,ok
subgroup_pooled,baseline_health,healthy,pooled,next_healthy_aging_binary,internet_use,177235,79709,internet_use,internet_use,137654,0.45999137329570555,0.016057104726333506,1.584060319715576,1.534983217925889,1.6347065343736953,1.7362294954409147e-180,clustered_by_person,False,ok
subgroup_pooled,baseline_health,unhealthy,pooled,next_healthy_aging_binary,internet_use,126765,65776,internet_use,internet_use,23207,0.43361959856011295,0.020989729184139813,1.542831861012959,1.4806478512960926,1.607627464743272,8.160381270228442e-95,clustered_by_person,False,ok
subgroup_pooled,age_group,60-69,pooled,next_healthy_aging_binary,social_participation,110448,60528,social_participation,social_participation,62331,0.24212869682307392,0.01623374287484547,1.2739581366313582,1.2340612514866987,1.3151448778851278,2.6268949800675676e-50,clustered_by_person,False,ok
subgroup_pooled,age_group,70-79,pooled,next_healthy_aging_binary,social_participation,74967,41955,social_participation,social_participation,31736,0.28289870380121923,0.01971022456027063,1.3269707379173128,1.276684730528129,1.3792374085655448,1.02187121719895e-46,clustered_by_person,False,ok
subgroup_pooled,age_group,80plus,pooled,next_healthy_aging_binary,social_participation,28690,17289,social_participation,social_participation,7459,0.31936269042048,0.03659151869831956,1.3762503872296368,1.2810029345914045,1.4785798511491046,2.5972241978465163e-18,clustered_by_person,False,ok
subgroup_pooled,age_group,under60,pooled,next_healthy_aging_binary,social_participation,102472,56044,social_participation,social_participation,65710,0.207288593856674,0.016922853454961202,1.2303375884201313,1.1901981443086571,1.2718307356786678,1.700105349739834e-34,clustered_by_person,False,ok
subgroup_pooled,sex,female,pooled,next_healthy_aging_binary,social_participation,180705,79708,social_participation,social_participation,89919,0.27275678941675996,0.013017440804185326,1.3135807292362374,1.2804897288729709,1.347526882343295,1.7550837944755094e-97,clustered_by_person,False,ok
subgroup_pooled,sex,male,pooled,next_healthy_aging_binary,social_participation,135872,61233,social_participation,social_participation,77317,0.22634328757268973,0.014610303617516902,1.2540060760986194,1.2186054028579887,1.2904351443085735,3.926819659948311e-54,clustered_by_person,False,ok
subgroup_pooled,education,high,pooled,next_healthy_aging_binary,social_participation,52006,24497,social_participation,social_participation,36789,0.2662126221807828,0.025482958753503177,1.3050125037948963,1.2414325847277392,1.3718486658174234,1.5172527134560242e-25,clustered_by_person,False,ok
subgroup_pooled,education,low,pooled,next_healthy_aging_binary,social_participation,157497,68357,social_participation,social_participation,66365,0.22210604297454503,0.013500711842690548,1.2487037871075348,1.2160946865764781,1.2821872878388245,8.190851851821697e-61,clustered_by_person,False,ok
subgroup_pooled,education,middle,pooled,next_healthy_aging_binary,social_participation,104544,47072,social_participation,social_participation,62404,0.28812200246563924,0.017074600773529253,1.3339200357296785,1.2900175010016781,1.3793166839515245,6.953985029457048e-64,clustered_by_person,False,ok
subgroup_pooled,rurality,rural,pooled,next_healthy_aging_binary,social_participation,106884,49148,social_participation,social_participation,51061,0.2146251250125326,0.01586952147456336,1.2393971908617651,1.2014400307003388,1.2785535336462979,1.1231651928411064e-41,clustered_by_person,False,ok
subgroup_pooled,rurality,urban,pooled,next_healthy_aging_binary,social_participation,174815,86616,social_participation,social_participation,93184,0.291053833946942,0.01295652136369369,1.337836603036187,1.3042902878009868,1.3722457287027647,9.362804448773384e-112,clustered_by_person,False,ok
subgroup_pooled,baseline_health,healthy,pooled,next_healthy_aging_binary,social_participation,183695,97807,social_participation,social_participation,141274,0.25527935008143865,0.012777167245051714,1.2908221617879967,1.2588972033455028,1.3235567200682266,8.332046982248751e-89,clustered_by_person,False,ok
subgroup_pooled,baseline_health,unhealthy,pooled,next_healthy_aging_binary,social_participation,134859,74246,social_participation,social_participation,26881,0.24973196429047417,0.016005728040101305,1.2836812981442196,1.2440357568243976,1.3245902830089071,6.98210515622056e-55,clustered_by_person,False,ok
